fid,in_atuacao,in_id,in_iptu_pr,in_situac,in_sql,in_tipolog,CEPEUC_SETOR_QUADRA_LOTE,CEPEUC_TIPOLOGIA,CEPEUC_LOGRADOURO,CEPEUC_N,CEPEUC_COND.,CEPEUC_SUBPREFEITURA,CEPEUC_PERIMETRO,CEPEUC_AREA_DO_TERRENO,CEPEUC_AREA_CONTRUÍDA,CEPEUC_DATA_DA_NOTIFICAÇAO,CEPEUC_IDENTIFICAÇÃO_DO_INSTRUMENTO,CEPEUC_SITUAÇAO_DO_IMOVEL,CEPEUC_SOLICITACAO_DA_AVERBACAO,CEPEUC_DATA_INICIAL_DA_APLICAÇÃO,CEPEUC_DATA_PROTOCOLO_APROVACAO_E_EXECUCAO_PROJETO_OU_EQUIVALENTE,CEPEUC_DATA_EXPEDICAO_ALVARA_APROVACAO_E_EXECUCAO,CEPEUC_BASE_DECAD2018,CEPEUC_DATA_1_APLICACAO_DA_ALIQUOTA_PROGRESSIVA,CEPEUC_IPTU_PROGRESSIVO_ENVIADOS_SF2016,CEPEUC_IPTU_PROGRESSIVO_ENVIADOS_SF2017,CEPEUC_IPTU_PROGRESSIVO_ENVIADOS_SF2018,CEPEUC_IPTU_PROGRESSIVO_ENVIADOS_SF2019,CEPEUC_DATA DA PUBLICACAO_DECRETO_DE_DESAPROPRIACAO,CEPEUC_DATA_DA_PROPOSITURA_DEACAO_DE_DESAPROPRIACAO,CEPEUC_DESTINACAO_DO_IMOVEL,CEPEUC_JUSTIFICATIVA_AUSENCIA_INTERESSE_NA_AQUISICAO
"597",OU CENTRO,"597",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0050350063",NAO UTILIZADO,"0050350063",NÃO UTILIZADO,AV BRIG LUIS ANTONIO,"269",NÃO,SPSE,OU CENTRO,"685","5915",2019/01/24,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2019/01/24,"-","-",,"-","-","-","-","-","-","-","-","-"
"598",SUBPREFEITURA SÉ,"598",SIM,NOTIFICADO,"0100310011",NAO UTILIZADO,"0100310011",NÃO UTILIZADO,R DA CONSOLACAO,"1813",NA,SPSE,SUBPREFEITURA SÉ,"194","1318",2017/03/14,IPTU PROGRESSIVO,IMPUGNAÇÃO EM ANÁLISE,"-",2017/03/14,"-","-",,"2019","-","-","-",ENVIADO,"-","-","-","-"
"599",SUBPREFEITURA SÉ,"599",SIM,NOTIFICADO,"0100310049",NAO UTILIZADO,"0100310049",NÃO UTILIZADO,R FERNANDO DE ALBUQUERQUE,"292",NA,SPSE,SUBPREFEITURA SÉ,"92","60",2016/12/07,IPTU PROGRESSIVO,NOTIFICADO,"-",2016/12/07,"-","-",,"2018","-","-",ENVIADO,ENVIADO,"-","-","-","-"
"600",SUBPREFEITURA SÉ,"600",SIM,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0100310067",NAO EDIFICADO,"0100310067",NÃO EDIFICADO,R BELA CINTRA,S/N,NA,SPSE,SUBPREFEITURA SÉ,"600","0",2016/09/05,IPTU PROGRESSIVO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2016/09/05,"-","-",,"2019","-","-","-",ENVIADO,"-","-","-","-"
"601",SUBPREFEITURA SÉ,"601",SIM,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0100310068",NAO EDIFICADO,"0100310068",NÃO EDIFICADO,R BELA CINTRA,"512",NA,SPSE,SUBPREFEITURA SÉ,"427","700",2016/09/05,IPTU PROGRESSIVO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2016/09/05,"-","-",,"2019","-","-","-",ENVIADO,"-","-","-","-"
"602",SUBPREFEITURA SÉ,"602",SIM,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0100310069",NAO EDIFICADO,"0100310069",NÃO EDIFICADO,R BELA CINTRA,"506",NA,SPSE,SUBPREFEITURA SÉ,"166","160",2016/09/05,IPTU PROGRESSIVO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2016/09/05,"-","-",,"2019","-","-","-",ENVIADO,"-","-","-","-"
"603",SUBPREFEITURA SÉ,"603",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0100310070",NAO EDIFICADO,"0100310070",NÃO EDIFICADO,R BELA CINTRA,S/N,NA,SPSE,SUBPREFEITURA SÉ,"286","0",2016/09/05,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2016/09/05,"-","-",,"-","-","-","-","-","-","-","-","-"
"604",SUBPREFEITURA SÉ,"604",SIM,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0100310099",NAO EDIFICADO,"0100310099",NÃO EDIFICADO,R BELA CINTRA,"538",NA,SPSE,SUBPREFEITURA SÉ,"684","1520",2016/09/05,IPTU PROGRESSIVO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2016/09/05,"-","-",,"2019","-","-","-",ENVIADO,"-","-","-","-"
"605",SUBPREFEITURA SÉ,"605",SIM,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0100310641",NAO EDIFICADO,"0100310641",NÃO EDIFICADO,R DA CONSOLACAO,"01837",NA,SPSE,SUBPREFEITURA SÉ,"661","0",2016/09/05,IPTU PROGRESSIVO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2016/09/05,"-","-",,"2019","-","-","-",ENVIADO,"-","-","-","-"
"606",SUBPREFEITURA SÉ,"606",SIM,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0100310643",NAO EDIFICADO,"0100310643",NÃO EDIFICADO,R DA CONSOLAÇÃO,"1817",,SPSE,SUBPREFEITURA SÉ,"438","294",2016/09/05,IPTU PROGRESSIVO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2016/09/05,"-","-",,"2019","-","-","-",ENVIADO,"-","-","-","-"
"607",SUBPREFEITURA SÉ,"607",SIM,NOTIFICADO,"0100330073",SUBUTILIZADO,"0100330073",SUBUTILIZADO,R FREI CANECA,"00740",NA,SPSE,SUBPREFEITURA SÉ,"542","276",2016/08/12,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2016/08/12,"-","-",,"2018","-","-",ENVIADO,ENVIADO,"-","-","-","-"
"608",SUBPREFEITURA SÉ,"608",SIM,NOTIFICADO,"0100330853",SUBUTILIZADO,"0100330853",SUBUTILIZADO,R FREI CANECA,"00720",NA,SPSE,SUBPREFEITURA SÉ,"648","100",2016/08/12,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2016/08/12,"-","-",,"2018","-","-",ENVIADO,ENVIADO,"-","-","-","-"
"609",SUBPREFEITURA SÉ,"609",NÃO,NOTIFICADO,"0100331206",NAO UTILIZADO,"0100331206",NÃO UTILIZADO,R AUGUSTA,1065-1071,NA,SPSE,SUBPREFEITURA SÉ,"510","684",2016/11/30,PEUC,NOTIFICADO,"-",2016/11/30,"-","-",,"-","-","-","-","-","-","-","-","-"
"610",SUBPREFEITURA SÉ,"610",NÃO,NOTIFICADO,"0100340079",NAO EDIFICADO,"0100340079",NÃO EDIFICADO,R DR PENAFORTE MENDES,"00187",NA,SPSE,SUBPREFEITURA SÉ,"655","0",2016/11/29,PEUC,IMPUGNAÇÃO EM ANÁLISE,"-",2016/11/29,2015/11/03,"-",,"-","-","-","-","-","-","-","-","-"
"611",SUBPREFEITURA SÉ,"611",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0100351463",SUBUTILIZADO,"0100351463",SUBUTILIZADO,R PAIM,"00327",NA,SPSE,SUBPREFEITURA SÉ,"1568","400",2016/10/20,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2016/10/20,"-","-",,"-","-","-","-","-","-","-","-","-"
"612",SUBPREFEITURA SÉ,"612",NÃO,IMPUGNAÇÃO DEFERIDA / MONITORAMENTO,"0100370085",NAO EDIFICADO,"0100370085",NÃO EDIFICADO,R DA CONSOLACAO,"02136",NA,SPSE,SUBPREFEITURA SÉ,"536","40",2016/08/12,PEUC,IMPUGNAÇÃO DEFERIDA / MONITORAMENTO,"-",2016/08/12,"-","-",,"-","-","-","-","-","-","-","-","-"
"613",SUBPREFEITURA SÉ,"613",NÃO,IMPUGNAÇÃO DEFERIDA / MONITORAMENTO,"0100370416",NAO UTILIZADO,"0100370416",NÃO UTILIZADO,R DA CONSOLACAO,2148-2152,NA,SPSE,SUBPREFEITURA SÉ,"263","1693",2016/08/12,PEUC,IMPUGNAÇÃO DEFERIDA / MONITORAMENTO,"-",2016/08/12,"-","-",,"-","-","-","-","-","-","-","-","-"
"614",SUBPREFEITURA SÉ,"614",SIM,RECURSO INDEFERIDO / MONITORAMENTO,"0100990938",NAO EDIFICADO,"0100990938",NÃO EDIFICADO,R ANTONIO CARLOS,"00139",NA,SPSE,SUBPREFEITURA SÉ,"1706","0",2017/01/23,IPTU PROGRESSIVO,RECURSO INDEFERIDO / MONITORAMENTO,"-",2017/01/23,"-","-",,"2019","-","-","-",ENVIADO,"-","-","-","-"
"615",SUBPREFEITURA SÉ,"615",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0100990940",SUBUTILIZADO,"0100990940",SUBUTILIZADO,R FREI CANECA,"01355",NA,SPSE,SUBPREFEITURA SÉ,"2909","1121",2016/09/05,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2016/09/05,2016/08/01,"-",,"-","-","-","-","-","-","-","-","-"
"616",SUBPREFEITURA SÉ,"616",SIM,NOTIFICADO,"0111210031",NAO EDIFICADO,"0111210031",NÃO EDIFICADO,R PARA,"99999",,SPSE,SUBPREFEITURA SÉ,"1120","0",2016/12/19,IPTU PROGRESSIVO,NOTIFICADO,"-",2016/12/19,"-","-",,"2018","-","-",ENVIADO,ENVIADO,"-","-","-","-"
"617",SUBPREFEITURA SÉ,"617",NÃO,NOTIFICADO,"0111210093",NAO EDIFICADO,"0111210093",NÃO EDIFICADO,R CEARA,"99999",,SPSE,SUBPREFEITURA SÉ,"618","0",2016/12/24,PEUC,NOTIFICADO,"-",2016/12/24,"-","-",,"-","-","-","-","-","-","-","-","-"
"618",EETU SANTO AMARO,"618",NÃO,NOTIFICADO,"0161060005",SUBUTILIZADO,"0161060005",SUBUTILIZADO,R JOAQUIM FLORIANO,"00152",NA,SPPI,EETU SANTO AMARO,"968","273",2016/07/27,PEUC,NOTIFICADO,AVERBADO,2016/07/27,2017/12/18,"-",,"-","-","-","-","-","-","-","-","-"
"619",SUBPREFEITURA MOOCA,"619",SIM,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0170420041",SUBUTILIZADO,"0170420041",SUBUTILIZADO,R CAP MOR PASSOS,"197",NA,SPMO,SUBPREFEITURA MOOCA,"440","50",2016/06/29,IPTU PROGRESSIVO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2016/06/29,"-","-",,"2018","-","-",ENVIADO,ENVIADO,"-","-","-","-"
"620",SUBPREFEITURA MOOCA,"620",SIM,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0170420042",SUBUTILIZADO,"0170420042",SUBUTILIZADO,R CAP MOR PASSOS,"195",NA,SPMO,SUBPREFEITURA MOOCA,"440","50",2016/06/29,IPTU PROGRESSIVO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2016/06/29,"-","-",,"2018","-","-",ENVIADO,ENVIADO,"-","-","-","-"
"621",SUBPREFEITURA MOOCA,"621",SIM,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0170420043",SUBUTILIZADO,"0170420043",SUBUTILIZADO,R CAP MOR PASSOS,"193",NA,SPMO,SUBPREFEITURA MOOCA,"440","50",2016/06/29,IPTU PROGRESSIVO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2016/06/29,"-","-",,"2018","-","-",ENVIADO,ENVIADO,"-","-","-","-"
"622",SUBPREFEITURA MOOCA,"622",SIM,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0170420044",SUBUTILIZADO,"0170420044",SUBUTILIZADO,R CAP MOR PASSOS,"191",NA,SPMO,SUBPREFEITURA MOOCA,"440","50",2016/06/29,IPTU PROGRESSIVO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2016/06/29,"-","-",,"2018","-","-",ENVIADO,ENVIADO,"-","-","-","-"
"623",SUBPREFEITURA MOOCA,"623",SIM,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0170420045",SUBUTILIZADO,"0170420045",SUBUTILIZADO,R CAP MOR PASSOS,"189",NA,SPMO,SUBPREFEITURA MOOCA,"440","50",2016/06/29,IPTU PROGRESSIVO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2016/06/29,"-","-",,"2018","-","-",ENVIADO,ENVIADO,"-","-","-","-"
"624",SUBPREFEITURA MOOCA,"624",SIM,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0170420046",SUBUTILIZADO,"0170420046",SUBUTILIZADO,R CAP MOR PASSOS,"187",NA,SPMO,SUBPREFEITURA MOOCA,"440","50",2016/06/29,IPTU PROGRESSIVO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2016/06/29,"-","-",,"2018","-","-",ENVIADO,ENVIADO,"-","-","-","-"
"625",SUBPREFEITURA MOOCA,"625",SIM,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0170420047",NAO UTILIZADO,"0170420047",NÃO UTILIZADO,R CAP MOR PASSOS,"1320",NA,SPMO,SUBPREFEITURA MOOCA,"894","1495",2016/06/29,IPTU PROGRESSIVO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2016/06/29,"-","-",,"2018","-","-",ENVIADO,ENVIADO,"-","-","-","-"
"626",SUBPREFEITURA MOOCA,"626",SIM,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0170420048",NAO EDIFICADO,"0170420048",NÃO EDIFICADO,R MORRO GRANDE,"99999",NA,SPMO,SUBPREFEITURA MOOCA,"267","0",2016/06/29,IPTU PROGRESSIVO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2016/06/29,"-","-",,"2018","-","-",ENVIADO,ENVIADO,"-","-","-","-"
"627",SUBPREFEITURA MOOCA,"627",SIM,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0170420049",NAO EDIFICADO,"0170420049",NÃO EDIFICADO,R MORRO GRANDE,"99999",NA,SPMO,SUBPREFEITURA MOOCA,"286","0",2016/06/29,IPTU PROGRESSIVO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2016/06/29,"-","-",,"2018","-","-",ENVIADO,ENVIADO,"-","-","-","-"
"628",SUBPREFEITURA MOOCA,"628",SIM,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0170420054",SUBUTILIZADO,"0170420054",SUBUTILIZADO,R CAPM PASSOS,"00199",NA,SPMO,SUBPREFEITURA MOOCA,"953","50",2016/06/29,IPTU PROGRESSIVO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2016/06/29,"-","-",,"2018","-","-",ENVIADO,ENVIADO,"-","-","-","-"
"629",SUBPREFEITURA MOOCA,"629",SIM,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0170420056",NAO EDIFICADO,"0170420056",NÃO EDIFICADO,R SACRAMENTO,"99999",NA,SPMO,SUBPREFEITURA MOOCA,"1250","0",2016/10/18,IPTU PROGRESSIVO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2016/10/18,"-","-",,"2019","-","-","-",ENVIADO,"-","-","-","-"
"630",SUBPREFEITURA MOOCA/ZEIS 3,"630",NÃO,IMPUGNAÇÃO EM ANÁLISE,"0170430017",NAO UTILIZADO,"0170430017",NÃO UTILIZADO,R RIO BONITO,"1206",NA,SPMO,SUBPREFEITURA MOOCA / ZEIS 3,"9765","7000",2017/01/19,PEUC,IMPUGNAÇÃO EM ANÁLISE,"-",2017/01/19,"-","-",,"-","-","-","-","-","-","-","-","-"
"631",SUBPREFEITURA MOOCA,"631",SIM,NOTIFICADO,"0170920193",SUBUTILIZADO,"0170920193",SUBUTILIZADO,R CASIMIRO DE ABREU,"00714",NA,SPMO,SUBPREFEITURA MOOCA,"1215","340",2017/01/23,IPTU PROGRESSIVO,NOTIFICADO,"-",2017/01/23,"-","-",,"2019","-","-","-",ENVIADO,"-","-","-","-"
"632",SUBPREFEITURA SÉ,"632",NÃO,NOTIFICADO,"0100300098",NAO UTILIZADO,"0100300098",NÃO UTILIZADO,R CEL JOSE EUSEBIO,"00135",,SPSE,SUBPREFEITURA SÉ,"240","364",2019/01/28,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2019/01/28,"-","-",,"-","-","-","-","-","-","-","-","-"
"633",SUBPREFEITURA SÉ,"633",NÃO,NOTIFICADO,"0180090067",SUBUTILIZADO,"0180090067",SUBUTILIZADO,R RODOLFO MIRANDA,"00192",,SPSE,SUBPREFEITURA SÉ,"1317","599",2016/08/04,PEUC,NOTIFICADO,AVERBADO,2016/08/04,2016/11/22,"-",,"-","-","-","-","-","-","-","-","-"
"634",SUBPREFEITURA SÉ,"634",SIM,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0180090068",SUBUTILIZADO,"0180090068",SUBUTILIZADO,R RODOLFO MIRANDA,"00150",,SPSE,SUBPREFEITURA SÉ,"1003","452",2016/12/08,IPTU PROGRESSIVO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2016/12/08,"-","-",,"2019","-","-","-",ENVIADO,"-","-","-","-"
"635",SUBPREFEITURA MOOCA,"635",SIM,NOTIFICADO,"0180110083",SUBUTILIZADO,"0180110083",SUBUTILIZADO,AV DO ESTADO,"01125",NA,SPMO,SUBPREFEITURA MOOCA,"760","3",2017/03/31,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2017/03/31,"-","-",,"2019","-","-","-",ENVIADO,"-","-","-","-"
"636",SUBPREFEITURA MOOCA/ZEIS 5,"636",SIM,NOTIFICADO,"0180200036",SUBUTILIZADO,"0180200036",SUBUTILIZADO,R JOAQUIM MURTINHO,"00232",NA,SPMO,SUBPREFEITURA MOOCA / ZEIS 5,"510","70",2016/12/16,IPTU PROGRESSIVO,NOTIFICADO,"-",2016/12/16,"-","-",,"2018","-","-",ENVIADO,ENVIADO,"-","-","-","-"
"637",SUBPREFEITURA SÉ,"637",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0180220086",NAO EDIFICADO,"0180220086",NÃO EDIFICADO,R AFONSO PENA,"99999",,SPSE,SUBPREFEITURA SÉ,"8383","0",2016/10/27,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2016/10/27,2012/02/13,2017/07/04,,"-","-","-","-","-","-","-","-","-"
"638",SUBPREFEITURA SÉ,"638",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0180320305",SUBUTILIZADO,"0180320305",SUBUTILIZADO,R DOSBANDEIRANTES,"00132",NA,SPSE,SUBPREFEITURA SÉ,"1057","200",2016/11/30,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2016/11/30,2017/12/27,"-",,"-","-","-","-","-","-","-","-","-"
"639",SUBPREFEITURA MOOCA,"639",SIM,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0180600051",NAO EDIFICADO,"0180600051",NÃO EDIFICADO,R CARNOT,"667",NA,SPMO,SUBPREFEITURA MOOCA,"500","0",2016/12/07,IPTU PROGRESSIVO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2016/12/07,"-","-",,"2019","-","-","-",ENVIADO,"-","-","-","-"
"640",SUBPREFEITURA MOOCA,"640",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0180600064",SUBUTILIZADO,"0180600064",SUBUTILIZADO,R CARNOT,"00703",NA,SPMO,SUBPREFEITURA MOOCA,"896","200",2017/02/24,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2017/02/24,"-","-",,"-","-","-","-","-","-","-","-","-"
"641",SUBPREFEITURA SÉ,"641",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0181000028",SUBUTILIZADO,"0181000028",SUBUTILIZADO,R PORTO SEGURO,"00117",,SPSE,SUBPREFEITURA SÉ,"3861","1280",2016/12/21,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2016/12/21,"-","-",,"-","-","-","-","-","-","-","-","-"
"642",SUBPREFEITURA MOOCA,"642",SIM,NOTIFICADO,"0181000052",NAO EDIFICADO,"0181000052",NÃO EDIFICADO,PC BENTO DE CAMARGO BARROS,"00012",NA,SPMO,SUBPREFEITURA MOOCA,"678","0",2016/11/30,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2016/11/30,"-","-",,"2018","-","-",ENVIADO,ENVIADO,"-","-","-","-"
"643",SUBPREFEITURA SÉ,"643",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0190280016",NAO EDIFICADO,"0190280016",NÃO EDIFICADO,R JAMES HOLLAND,"00035",NA,SPSE,SUBPREFEITURA SÉ,"720","0",2016/11/25,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2016/11/25,2016/12/06,"-",,"-","-","-","-","-","-","-","-","-"
"644",SUBPREFEITURA SÉ,"644",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0190840009",SUBUTILIZADO,"0190840009",SUBUTILIZADO,R DA GRACA,"00608",NA,SPSE,SUBPREFEITURA SÉ,"951","0",2016/11/08,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2016/11/08,2017/11/22,2018/10/18,,"-","-","-","-","-","-","-","-","-"
"645",SUBPREFEITURA SÉ,"645",SIM,NOTIFICADO,"0191030077",NAO UTILIZADO,"0191030077",NÃO UTILIZADO,R MATARAZZO,"00054",,SPSE,SUBPREFEITURA SÉ,"1673","788",2017/03/09,IPTU PROGRESSIVO,NOTIFICADO,"-",2017/03/09,"-","-",,"2019","-","-","-",ENVIADO,"-","-","-","-"
"646",SUBPREFEITURA SÉ/ZEIS 3,"646",NÃO,IMPUGNAÇÃO EM ANÁLISE,"0200120058",NAO EDIFICADO,"0200120058",NÃO EDIFICADO,R BARRA FUNDA,"1051",NÃO,SPSE,SUBPREFEITURA SÉ / ZEIS 3,"512","530",2016/01/20,PEUC,IMPUGNAÇÃO EM ANÁLISE,AVERBADO,2016/01/20,2017/05/02,"-",,"-","-","-","-","-","-","-","-","-"
"647",SUBPREFEITURA SÉ/ZEIS 3,"647",NÃO,NOTIFICADO,"0200120117",SUBUTILIZADO,"0200120117",SUBUTILIZADO,R BRIG GALVAO,"01084",NÃO,SPSE,SUBPREFEITURA SÉ / ZEIS 3,"655","144",2015/11/18,PEUC,NOTIFICADO,AVERBADO,2015/11/18,2018/10/01,"-",,"2017","-",ENVIADO,ENVIADO,"-","-","-","-","-"
"648",SUBPREFEITURA SÉ/ZEIS 3,"648",SIM,NOTIFICADO,"0200400015",NAO EDIFICADO,"0200400015",NÃO EDIFICADO,R BARRA FUNDA,"459",,SPSE,SUBPREFEITURA SÉ / ZEIS 3,"150","0",2016/01/21,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2016/01/21,"-","-",,"2018","-","-",ENVIADO,ENVIADO,"-","-","-","-"
"649",SUBPREFEITURA SÉ/ZEIS 3,"649",SIM,NOTIFICADO,"0200400016",NAO EDIFICADO,"0200400016",NÃO EDIFICADO,R BARRA FUNDA,"99999",,SPSE,SUBPREFEITURA SÉ / ZEIS 3,"217","0",2016/01/21,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2016/01/21,"-","-",,"2018","-","-",ENVIADO,ENVIADO,"-","-","-","-"
"650",SUBPREFEITURA SÉ/ZEIS 3,"650",SIM,NOTIFICADO,"0200400019",NAO EDIFICADO,"0200400019",NÃO EDIFICADO,R BARRA FUNDA,"99999",NÃO,SPSE,SUBPREFEITURA SÉ / ZEIS 3,"350","0",2016/01/21,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2016/01/21,"-","-",,"2018","-","-",ENVIADO,ENVIADO,"-","-","-","-"
"651",SUBPREFEITURA SÉ/ZEIS 3,"651",SIM,NOTIFICADO,"0200400129",SUBUTILIZADO,"0200400129",SUBUTILIZADO,R BRIG GALVAO,"498",NÃO,SPSE,SUBPREFEITURA SÉ / ZEIS 3,"1950","932",2016/01/21,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2016/01/21,"-","-",,"2018","-","-",ENVIADO,ENVIADO,"-","-","-","-"
"652",SUBPREFEITURA SÉ/ZEIS 3,"652",SIM,NOTIFICADO,"0200400154",NAO EDIFICADO,"0200400154",NÃO EDIFICADO,R BARRA FUNDA,"99999",NÃO,SPSE,SUBPREFEITURA SÉ / ZEIS 3,"1100","0",2016/01/21,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2016/01/21,"-","-",,"2018","-","-",ENVIADO,ENVIADO,"-","-","-","-"
"653",SUBPREFEITURA SÉ,"653",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0200600029",NAO EDIFICADO,"0200600029",NÃO EDIFICADO,R CONS BROTERO,"00704",NA,SPSE,SUBPREFEITURA SÉ,"570","0",2016/10/11,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2016/10/11,2014/02/05,"-",,"-","-","-","-","-","-","-","-","-"
"654",OUC ÁGUA BRANCA,"654",SIM,RECURSO INDEFERIDO / MONITORAMENTO,"0210040018",SUBUTILIZADO,"0210040018",SUBUTILIZADO,AV FRANCISCO MATARAZZO,"00664","-",SPLA,OUC ÁGUA BRANCA,"606","63",2015/03/24,IPTU PROGRESSIVO,RECURSO INDEFERIDO / MONITORAMENTO,AVERBADO,2015/03/24,2019/01/08,"-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"655",OUC ÁGUA BRANCA,"655",SIM,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0210040061",NAO UTILIZADO,"0210040061",NÃO UTILIZADO,AV DR ADOLPHO PINTO,"69",NÃO,SPLA,OUC ÁGUA BRANCA,"538","700",2016/02/16,IPTU PROGRESSIVO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2016/02/16,"-","-",,"2018","-","-",ENVIADO,ENVIADO,"-","-","-","-"
"656",OUC ÁGUA BRANCA,"656",NÃO,IMPUGNAÇÃO DEFERIDA / MONITORAMENTO,"0210040062",NAO UTILIZADO,"0210040062",NÃO UTILIZADO,AV DR ADOLPHO PINTO,"77",NÃO,SPLA,OUC ÁGUA BRANCA,"151","178",2015/08/07,PEUC,IMPUGNAÇÃO DEFERIDA / MONITORAMENTO,AVERBADO,2015/08/07,"-","-",,"-","-","-","-","-","-","-","-","-"
"657",OUC ÁGUA BRANCA,"657",NÃO,IMPUGNAÇÃO DEFERIDA / MONITORAMENTO,"0210040065",NAO UTILIZADO,"0210040065",NÃO UTILIZADO,AV DR ADOLPHO PINTO,"93",,SPLA,OUC ÁGUA BRANCA,"162","160",2015/08/07,PEUC,IMPUGNAÇÃO DEFERIDA / MONITORAMENTO,AVERBADO,2015/08/07,"-","-",,"-","-","-","-","-","-","-","-","-"
